id;start_date;end_date;language
1;2020-05-26T03:08:20;2020-05-26T00:58:35;SPANISH
2;2020-05-25T07:58:31;2020-05-26T03:02:56;SPANISH
3;2020-05-25T22:53:50;2020-05-25T09:27:59;FRENCH
4;2020-05-25T14:11:21;2020-05-26T01:42:47;FRENCH
5;2020-05-25T23:41:39;2020-05-26T04:28:38;FRENCH
6;2020-05-25T17:34:00;2020-05-26T05:42:14;FRENCH
7;2020-05-25T19:19:20;2020-05-25T13:10:11;FRENCH
8;2020-05-25T18:15:33;2020-05-26T04:31:41;SPANISH
9;2020-05-25T16:56:42;2020-05-25T13:38:05;SPANISH
10;2020-05-26T01:08:46;2020-05-25T11:43:16;SPANISH
